# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 37.500, 105.193 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Manila, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Manila", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "37.4999947", "lon": "105.1928783", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 08:00,0.160,0.157,0.014,-13.425
2019-01-01 01:00,2019-01-01 09:00,0.584,0.549,0.057,-10.570
2019-01-01 02:00,2019-01-01 10:00,0.741,0.720,0.081,-8.080
2019-01-01 03:00,2019-01-01 11:00,0.772,0.757,0.097,-5.067
2019-01-01 04:00,2019-01-01 12:00,0.797,0.799,0.102,-2.390
2019-01-01 05:00,2019-01-01 13:00,0.780,0.785,0.102,-0.601
2019-01-01 06:00,2019-01-01 14:00,0.776,0.794,0.092,0.227
2019-01-01 07:00,2019-01-01 15:00,0.727,0.743,0.077,0.393
2019-01-01 08:00,2019-01-01 16:00,0.553,0.546,0.056,-0.321
2019-01-01 09:00,2019-01-01 17:00,0.136,0.142,0.013,-2.824
2019-01-01 10:00,2019-01-01 18:00,0,0,0,-4.683
2019-01-01 11:00,2019-01-01 19:00,0,0,0,-6.073
2019-01-01 12:00,2019-01-01 20:00,0,0,0,-7.290
2019-01-01 13:00,2019-01-01 21:00,0,0,0,-7.990
2019-01-01 14:00,2019-01-01 22:00,0,0,0,-8.655
2019-01-01 15:00,2019-01-01 23:00,0,0,0,-9.273
2019-01-01 16:00,2019-01-02 00:00,0,0,0,-9.411
2019-01-01 17:00,2019-01-02 01:00,0,0,0,-9.475
2019-01-01 18:00,2019-01-02 02:00,0,0,0,-9.608
2019-01-01 19:00,2019-01-02 03:00,0,0,0,-9.871
2019-01-01 20:00,2019-01-02 04:00,0,0,0,-10.145
2019-01-01 21:00,2019-01-02 05:00,0,0,0,-10.471
2019-01-01 22:00,2019-01-02 06:00,0,0,0,-10.910
2019-01-01 23:00,2019-01-02 07:00,0,0,0,-11.391
2019-01-02 00:00,2019-01-02 08:00,0.203,0.200,0.014,-11.447
2019-01-02 01:00,2019-01-02 09:00,0.667,0.655,0.052,-9.227
2019-01-02 02:00,2019-01-02 10:00,0.851,0.887,0.068,-6.294
2019-01-02 03:00,2019-01-02 11:00,0.900,0.968,0.075,-2.750
2019-01-02 04:00,2019-01-02 12:00,0.900,0.994,0.078,0.138
2019-01-02 05:00,2019-01-02 13:00,0.895,0.990,0.077,2.181
2019-01-02 06:00,2019-01-02 14:00,0.865,0.954,0.074,3.173
2019-01-02 07:00,2019-01-02 15:00,0.800,0.868,0.066,3.260
2019-01-02 08:00,2019-01-02 16:00,0.638,0.663,0.049,1.798
2019-01-02 09:00,2019-01-02 17:00,0.191,0.198,0.013,-1.852
2019-01-02 10:00,2019-01-02 18:00,0,0,0,-3.955
2019-01-02 11:00,2019-01-02 19:00,0,0,0,-5.507
2019-01-02 12:00,2019-01-02 20:00,0,0,0,-6.978
2019-01-02 13:00,2019-01-02 21:00,0,0,0,-8.150
2019-01-02 14:00,2019-01-02 22:00,0,0,0,-9.096
2019-01-02 15:00,2019-01-02 23:00,0,0,0,-9.870
2019-01-02 16:00,2019-01-03 00:00,0,0,0,-10.501
2019-01-02 17:00,2019-01-03 01:00,0,0,0,-11.017
2019-01-02 18:00,2019-01-03 02:00,0,0,0,-11.476
2019-01-02 19:00,2019-01-03 03:00,0,0,0,-11.867
2019-01-02 20:00,2019-01-03 04:00,0,0,0,-12.082
2019-01-02 21:00,2019-01-03 05:00,0,0,0,-12.189
2019-01-02 22:00,2019-01-03 06:00,0,0,0,-11.985
2019-01-02 23:00,2019-01-03 07:00,0,0,0,-11.855
2019-01-03 00:00,2019-01-03 08:00,0.022,0.027,0.013,-11.617
2019-01-03 01:00,2019-01-03 09:00,0.116,0.067,0.065,-10.637
2019-01-03 02:00,2019-01-03 10:00,0.219,0.108,0.123,-9.105
2019-01-03 03:00,2019-01-03 11:00,0.311,0.154,0.169,-7.673
