# Renewables.ninja Wind power (Point API) - 37.500, 105.193 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Asia/Manila, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Asia/Manila", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "37.4999947", "lon": "105.1928783", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "120", "turbine": "Goldwind GW154 6700", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 08:00,0.412,7.722
2019-01-01 01:00,2019-01-01 09:00,0.277,6.681
2019-01-01 02:00,2019-01-01 10:00,0.107,4.957
2019-01-01 03:00,2019-01-01 11:00,0.109,4.985
2019-01-01 04:00,2019-01-01 12:00,0.084,4.625
2019-01-01 05:00,2019-01-01 13:00,0.035,3.706
2019-01-01 06:00,2019-01-01 14:00,0.010,2.817
2019-01-01 07:00,2019-01-01 15:00,0.003,2.264
2019-01-01 08:00,2019-01-01 16:00,0.001,1.750
2019-01-01 09:00,2019-01-01 17:00,0.006,2.529
2019-01-01 10:00,2019-01-01 18:00,0.017,3.152
2019-01-01 11:00,2019-01-01 19:00,0.038,3.768
2019-01-01 12:00,2019-01-01 20:00,0.065,4.327
2019-01-01 13:00,2019-01-01 21:00,0.062,4.273
2019-01-01 14:00,2019-01-01 22:00,0.076,4.511
2019-01-01 15:00,2019-01-01 23:00,0.189,5.887
2019-01-01 16:00,2019-01-02 00:00,0.433,7.874
2019-01-01 17:00,2019-01-02 01:00,0.611,9.203
2019-01-01 18:00,2019-01-02 02:00,0.699,9.938
2019-01-01 19:00,2019-01-02 03:00,0.722,10.149
2019-01-01 20:00,2019-01-02 04:00,0.728,10.209
2019-01-01 21:00,2019-01-02 05:00,0.712,10.065
2019-01-01 22:00,2019-01-02 06:00,0.685,9.821
2019-01-01 23:00,2019-01-02 07:00,0.649,9.506
2019-01-02 00:00,2019-01-02 08:00,0.590,9.032
2019-01-02 01:00,2019-01-02 09:00,0.398,7.617
2019-01-02 02:00,2019-01-02 10:00,0.237,6.330
2019-01-02 03:00,2019-01-02 11:00,0.189,5.893
2019-01-02 04:00,2019-01-02 12:00,0.092,4.748
2019-01-02 05:00,2019-01-02 13:00,0.036,3.727
2019-01-02 06:00,2019-01-02 14:00,0.012,2.940
2019-01-02 07:00,2019-01-02 15:00,0.004,2.406
2019-01-02 08:00,2019-01-02 16:00,0.013,3.000
2019-01-02 09:00,2019-01-02 17:00,0.142,5.391
2019-01-02 10:00,2019-01-02 18:00,0.288,6.773
2019-01-02 11:00,2019-01-02 19:00,0.302,6.885
2019-01-02 12:00,2019-01-02 20:00,0.342,7.196
2019-01-02 13:00,2019-01-02 21:00,0.381,7.489
2019-01-02 14:00,2019-01-02 22:00,0.409,7.699
2019-01-02 15:00,2019-01-02 23:00,0.398,7.616
2019-01-02 16:00,2019-01-03 00:00,0.368,7.388
2019-01-02 17:00,2019-01-03 01:00,0.322,7.043
2019-01-02 18:00,2019-01-03 02:00,0.277,6.671
2019-01-02 19:00,2019-01-03 03:00,0.258,6.523
2019-01-02 20:00,2019-01-03 04:00,0.239,6.352
2019-01-02 21:00,2019-01-03 05:00,0.219,6.167
2019-01-02 22:00,2019-01-03 06:00,0.224,6.217
2019-01-02 23:00,2019-01-03 07:00,0.213,6.126
2019-01-03 00:00,2019-01-03 08:00,0.142,5.391
2019-01-03 01:00,2019-01-03 09:00,0.045,3.938
2019-01-03 02:00,2019-01-03 10:00,0.017,3.158
2019-01-03 03:00,2019-01-03 11:00,0.020,3.255
2019-01-03 04:00,2019-01-03 12:00,0.035,3.700
2019-01-03 05:00,2019-01-03 13:00,0.045,3.925
2019-01-03 06:00,2019-01-03 14:00,0.051,4.061
2019-01-03 07:00,2019-01-03 15:00,0.059,4.220
2019-01-03 08:00,2019-01-03 16:00,0.064,4.304
2019-01-03 09:00,2019-01-03 17:00,0.059,4.209
2019-01-03 10:00,2019-01-03 18:00,0.050,4.045
2019-01-03 11:00,2019-01-03 19:00,0.042,3.865
2019-01-03 12:00,2019-01-03 20:00,0.045,3.929
2019-01-03 13:00,2019-01-03 21:00,0.046,3.954
2019-01-03 14:00,2019-01-03 22:00,0.040,3.828
2019-01-03 15:00,2019-01-03 23:00,0.040,3.817
2019-01-03 16:00,2019-01-04 00:00,0.036,3.720
2019-01-03 17:00,2019-01-04 01:00,0.018,3.201
2019-01-03 18:00,2019-01-04 02:00,0.009,2.766
2019-01-03 19:00,2019-01-04 03:00,0.010,2.808
2019-01-03 20:00,2019-01-04 04:00,0.015,3.091
2019-01-03 21:00,2019-01-04 05:00,0.022,3.338
2019-01-03 22:00,2019-01-04 06:00,0.025,3.418
2019-01-03 23:00,2019-01-04 07:00,0.025,3.417
2019-01-04 00:00,2019-01-04 08:00,0.031,3.594
2019-01-04 01:00,2019-01-04 09:00,0.028,3.517
2019-01-04 02:00,2019-01-04 10:00,0.051,4.066
2019-01-04 03:00,2019-01-04 11:00,0.057,4.176
2019-01-04 04:00,2019-01-04 12:00,0.056,4.163
2019-01-04 05:00,2019-01-04 13:00,0.053,4.104
2019-01-04 06:00,2019-01-04 14:00,0.054,4.114
2019-01-04 07:00,2019-01-04 15:00,0.064,4.285
2019-01-04 08:00,2019-01-04 16:00,0.086,4.648
2019-01-04 09:00,2019-01-04 17:00,0.181,5.807
2019-01-04 10:00,2019-01-04 18:00,0.312,6.961
2019-01-04 11:00,2019-01-04 19:00,0.291,6.799
2019-01-04 12:00,2019-01-04 20:00,0.212,6.107
2019-01-04 13:00,2019-01-04 21:00,0.168,5.679
2019-01-04 14:00,2019-01-04 22:00,0.124,5.175
2019-01-04 15:00,2019-01-04 23:00,0.103,4.906
2019-01-04 16:00,2019-01-05 00:00,0.139,5.348
2019-01-04 17:00,2019-01-05 01:00,0.194,5.935
2019-01-04 18:00,2019-01-05 02:00,0.241,6.368
2019-01-04 19:00,2019-01-05 03:00,0.302,6.883
2019-01-04 20:00,2019-01-05 04:00,0.364,7.364
2019-01-04 21:00,2019-01-05 05:00,0.399,7.619
2019-01-04 22:00,2019-01-05 06:00,0.465,8.099
2019-01-04 23:00,2019-01-05 07:00,0.534,8.612
2019-01-05 00:00,2019-01-05 08:00,0.528,8.565
2019-01-05 01:00,2019-01-05 09:00,0.354,7.283
2019-01-05 02:00,2019-01-05 10:00,0.180,5.791
2019-01-05 03:00,2019-01-05 11:00,0.118,5.106
2019-01-05 04:00,2019-01-05 12:00,0.057,4.176
2019-01-05 05:00,2019-01-05 13:00,0.050,4.041
2019-01-05 06:00,2019-01-05 14:00,0.039,3.808
2019-01-05 07:00,2019-01-05 15:00,0.018,3.182
2019-01-05 08:00,2019-01-05 16:00,0,1.288
2019-01-05 09:00,2019-01-05 17:00,0.004,2.419
2019-01-05 10:00,2019-01-05 18:00,0.122,5.151
2019-01-05 11:00,2019-01-05 19:00,0.330,7.103
2019-01-05 12:00,2019-01-05 20:00,0.497,8.340
2019-01-05 13:00,2019-01-05 21:00,0.564,8.830
2019-01-05 14:00,2019-01-05 22:00,0.563,8.827
2019-01-05 15:00,2019-01-05 23:00,0.536,8.631
2019-01-05 16:00,2019-01-06 00:00,0.498,8.345
2019-01-05 17:00,2019-01-06 01:00,0.428,7.830
2019-01-05 18:00,2019-01-06 02:00,0.463,8.092
2019-01-05 19:00,2019-01-06 03:00,0.576,8.934
2019-01-05 20:00,2019-01-06 04:00,0.598,9.103
2019-01-05 21:00,2019-01-06 05:00,0.538,8.643
2019-01-05 22:00,2019-01-06 06:00,0.468,8.129
2019-01-05 23:00,2019-01-06 07:00,0.434,7.883
2019-01-06 00:00,2019-01-06 08:00,0.421,7.784
2019-01-06 01:00,2019-01-06 09:00,0.360,7.336
2019-01-06 02:00,2019-01-06 10:00,0.313,6.976
2019-01-06 03:00,2019-01-06 11:00,0.256,6.507
2019-01-06 04:00,2019-01-06 12:00,0.237,6.331
2019-01-06 05:00,2019-01-06 13:00,0.212,6.102
2019-01-06 06:00,2019-01-06 14:00,0.184,5.844
2019-01-06 07:00,2019-01-06 15:00,0.164,5.636
2019-01-06 08:00,2019-01-06 16:00,0.127,5.217
2019-01-06 09:00,2019-01-06 17:00,0.151,5.489
2019-01-06 10:00,2019-01-06 18:00,0.281,6.709
2019-01-06 11:00,2019-01-06 19:00,0.384,7.520
2019-01-06 12:00,2019-01-06 20:00,0.433,7.880
2019-01-06 13:00,2019-01-06 21:00,0.441,7.937
2019-01-06 14:00,2019-01-06 22:00,0.402,7.643
2019-01-06 15:00,2019-01-06 23:00,0.337,7.163
2019-01-06 16:00,2019-01-07 00:00,0.285,6.737
2019-01-06 17:00,2019-01-07 01:00,0.277,6.683
2019-01-06 18:00,2019-01-07 02:00,0.235,6.321
2019-01-06 19:00,2019-01-07 03:00,0.207,6.062
2019-01-06 20:00,2019-01-07 04:00,0.256,6.505
2019-01-06 21:00,2019-01-07 05:00,0.311,6.956
2019-01-06 22:00,2019-01-07 06:00,0.347,7.236
2019-01-06 23:00,2019-01-07 07:00,0.341,7.185
2019-01-07 00:00,2019-01-07 08:00,0.285,6.736
2019-01-07 01:00,2019-01-07 09:00,0.137,5.329
2019-01-07 02:00,2019-01-07 10:00,0.088,4.683
2019-01-07 03:00,2019-01-07 11:00,0.088,4.696
2019-01-07 04:00,2019-01-07 12:00,0.107,4.959
2019-01-07 05:00,2019-01-07 13:00,0.131,5.261
2019-01-07 06:00,2019-01-07 14:00,0.149,5.467
2019-01-07 07:00,2019-01-07 15:00,0.160,5.585
2019-01-07 08:00,2019-01-07 16:00,0.159,5.569
2019-01-07 09:00,2019-01-07 17:00,0.169,5.685
